Tickers,shr px ATH,shr px last,shr px % chg,mkt cap ATH USDm,last mkt cap USDm,mkt cap % chg,mkt cap date ATH
CAAP,18.4,17.6,-4.1,2967,2846,-4.1,May-24
VIST,48.5,42.7,-12.0,4881,4297,-12.0,May-24
TGS,20.3,18.4,-9.1,3213,2766,-13.9,Dec-17
BIOX,14.5,10.6,-26.8,893,677,-24.2,Oct-22
AGRO,11.8,9.1,-22.7,1455,976,-33.0,Feb-17
TS,47.7,30.5,-36.0,27745,17654,-36.4,Jun-08
CEPU,14.9,9.0,-39.3,2189,1348,-38.4,Feb-18
LOMA,11.0,6.8,-37.8,1285,782,-39.1,Aug-19
BMA,98.5,57.5,-41.6,6580,3677,-44.1,Oct-17
GGAL,60.1,32.1,-46.7,10622,5842,-45.0,Jan-18
YPF,45.1,20.3,-55.0,17727,7948,-55.2,Jan-11
PAM,70.5,44.0,-37.6,5369,2366,-55.9,Jan-18
BBAR,21.4,9.4,-56.1,4373,1918,-56.1,Jan-18
CRESY,18.7,7.9,-57.5,1062,465,-56.2,Jan-18
TEO,24.5,6.9,-71.8,17306,4871,-71.9,Apr-18
EDN,62.5,15.8,-74.8,5567,1367,-75.4,Jan-18
SUPV,30.1,6.6,-78.1,3340,674,-79.8,Jan-18
Median,,,,,,-44.1,
